Manufacturer,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Intel,Xeon Platinum 8360HL,Cooper Lake-SP,24 / 48,3 to 4.2 GHz,Socket 4189,14 nm,33MB,225 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8360Y,Ice Lake-SP,36 / 72,2.4 to 3.5 GHz,Socket 4189,10 nm,54MB,250 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8362,Ice Lake-SP,32 / 64,2.8 to 3.6 GHz,Socket 4189,10 nm,48MB,265 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8368,Ice Lake-SP,38 / 76,2.4 to 3.4 GHz,Socket 4189,10 nm,57MB,270 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8368Q,Ice Lake-SP,38 / 76,2.6 to 3.7 GHz,Socket 4189,10 nm,57MB,270 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8376H,Cooper Lake-SP,28 / 56,2.6 to 4.3 GHz,Socket 4189,14 nm,38.5MB,205 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8376HL,Cooper Lake-SP,28 / 56,2.6 to 4.3 GHz,Socket 4189,14 nm,38.5MB,205 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8380,Ice Lake-SP,40 / 80,2.3 to 3.4 GHz,Socket 4189,10 nm,60MB,270 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8380H,Cooper Lake-SP,28 / 56,2.9 to 4.3 GHz,Socket 4189,14 nm,38.5MB,250 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8380HL,Cooper Lake-SP,28 / 56,2.9 to 4.3 GHz,Socket 4189,14 nm,38.5MB,250 W,"Apr 6th, 2021"
Intel,Xeon Silver 4309Y,Ice Lake-SP,8 / 16,2.8 to 3.6 GHz,Socket 4189,10 nm,12MB,105 W,"Apr 6th, 2021"
Intel,Xeon Silver 4310,Ice Lake-SP,12 / 24,2.1 to 3.3 GHz,Socket 4189,10 nm,18MB,120 W,"Apr 6th, 2021"
Intel,Xeon Silver 4310T,Ice Lake-SP,10 / 20,2.3 to 3.4 GHz,Socket 4189,10 nm,15MB,105 W,"Apr 6th, 2021"
Intel,Xeon Silver 4314,Ice Lake-SP,16 / 32,2.4 to 3.4 GHz,Socket 4189,10 nm,24MB,135 W,"Apr 6th, 2021"
Intel,Xeon Silver 4316,Ice Lake-SP,20 / 40,2.3 to 3.4 GHz,Socket 4189,10 nm,30MB,150 W,"Apr 6th, 2021"
Intel,Xeon W-3323,Ice Lake-W,12 / 24,3.5 to 4 GHz,Socket 4189,10 nm,18MB,220 W,"Jul 29th, 2021"
Intel,Xeon W-3335,Ice Lake-W,16 / 32,3.4 to 4 GHz,Socket 4189,10 nm,24MB,250 W,"Jul 29th, 2021"
Intel,Xeon W-3345,Ice Lake-W,24 / 48,3 to 4 GHz,Socket 4189,10 nm,36MB,250 W,"Jul 29th, 2021"
Intel,Xeon W-3365,Ice Lake-W,32 / 64,2.7 to 4 GHz,Socket 4189,10 nm,48MB,270 W,"Jul 29th, 2021"
Intel,Xeon W-3375,Ice Lake-W,38 / 76,2.5 to 4 GHz,Socket 4189,10 nm,57MB,270 W,"Jul 29th, 2021"
